"Model"	"Displ"	"Cyl"	"Trans"	"Drive"	"Fuel"	"Veh.Class"	"Air.Pollution.Score"	"City.MPG"	"Hwy.MPG"	"Cmb.MPG"	"Greenhouse.Gas.Score"	"dataYear"
"PORSCHE 911 Turbo Cabriolet"	3.8	6	"Man-6"	"2WD"	"Gasoline"	"small car"	5	16	24	19	3	"12"
"PORSCHE 911 Turbo Cabriolet"	3.8	6	"Man-6"	"2WD"	"Gasoline"	"small car"	5	16	24	19	3	"12"
"PORSCHE 911 Turbo S Cabriolet"	3.8	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	5	16	24	19	3	"12"
"PORSCHE 911 Turbo S Cabriolet"	3.8	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	5	16	24	19	3	"12"
"PORSCHE 911 Turbo S Coupe"	3.8	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	5	17	25	19	3	"12"
"PORSCHE 911 Turbo S Coupe"	3.8	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	5	17	25	19	3	"12"
"PORSCHE Boxster"	2.9	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	5	20	29	24	5	"12"
"PORSCHE Boxster"	2.9	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	6	20	29	24	5	"12"
"PORSCHE Boxster"	2.9	6	"Man-6"	"2WD"	"Gasoline"	"small car"	5	19	27	22	5	"12"
"PORSCHE Boxster"	2.9	6	"Man-6"	"2WD"	"Gasoline"	"small car"	6	19	27	22	5	"12"
"PORSCHE Boxster S"	3.4	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	5	20	29	23	5	"12"
"PORSCHE Boxster S"	3.4	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	6	20	29	23	5	"12"
"PORSCHE Boxster S"	3.4	6	"Man-6"	"2WD"	"Gasoline"	"small car"	5	19	26	22	5	"12"
"PORSCHE Boxster S"	3.4	6	"Man-6"	"2WD"	"Gasoline"	"small car"	6	19	26	22	5	"12"
"PORSCHE Boxster Spyder"	3.4	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	5	20	29	23	5	"12"
"PORSCHE Boxster Spyder"	3.4	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	6	20	29	23	5	"12"
"PORSCHE Boxster Spyder"	3.4	6	"Man-6"	"2WD"	"Gasoline"	"small car"	5	19	27	22	5	"12"
"PORSCHE Boxster Spyder"	3.4	6	"Man-6"	"2WD"	"Gasoline"	"small car"	6	19	27	22	5	"12"
"PORSCHE Cayenna S Hybrid"	3	6	"Auto-8"	"4WD"	"Gasoline"	"SUV"	5	20	24	21	4	"12"
"PORSCHE Cayenna S Hybrid"	3	6	"Auto-8"	"4WD"	"Gasoline"	"SUV"	6	20	24	21	4	"12"
"PORSCHE Cayenne"	3.6	6	"Man-6"	"4WD"	"Gasoline"	"SUV"	5	15	22	17	2	"12"
"PORSCHE Cayenne"	3.6	6	"Man-6"	"4WD"	"Gasoline"	"SUV"	6	15	22	17	2	"12"
"PORSCHE Cayenne"	3.6	6	"SemiAuto-8"	"4WD"	"Gasoline"	"SUV"	5	17	23	19	3	"12"
"PORSCHE Cayenne"	3.6	6	"SemiAuto-8"	"4WD"	"Gasoline"	"SUV"	6	17	23	19	3	"12"
"PORSCHE Cayenne S"	4.8	8	"Auto-8"	"4WD"	"Gasoline"	"SUV"	5	16	22	18	3	"12"
"PORSCHE Cayenne S"	4.8	8	"Auto-8"	"4WD"	"Gasoline"	"SUV"	6	16	22	18	3	"12"
"PORSCHE Cayenne Turbo"	4.8	8	"Auto-8"	"4WD"	"Gasoline"	"SUV"	5	15	22	17	2	"12"
"PORSCHE Cayenne Turbo"	4.8	8	"Auto-8"	"4WD"	"Gasoline"	"SUV"	5	15	22	17	2	"12"
"PORSCHE Cayman"	2.9	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	5	20	29	24	5	"12"
"PORSCHE Cayman"	2.9	6	"Auto-7"	"2WD"	"Gasoline"	"small car"	6	20	29	24	5	"12"
"PORSCHE Cayman"	2.9	6	"Man-6"	"2WD"	"Gasoline"	"small car"	5	19	27	22	5	"12"
